country,control_of_corruption,corruption perception index,basel anti money laundering,IDEA absence of corruption,Index of public integrity
Armenia,-0.56,35,4.44,0.323752784180337,
Azerbaijan,-0.89,31,4.77,0.121494700820596,6.227308666
Belarus,-0.26,44,,0.48230823604089,
Estonia,1.25,71,2.73,0.785596524561513,8.877991006
Georgia,0.74,56,5.28,0.651742485298638,7.179274072
Kazakhstan,-0.82,31,6.35,0.305048959552391,5.627001672
Kyrgyzstan,-1.06,29,6.24,0.225879954947723,5.525407181
Latvia,0.56,58,3.64,0.659736756272777,7.91231156
Lithuania,0.54,59,3.67,0.669399762028329,7.688305789
Moldova,-0.80,31,5.43,0.363008798422198,6.261527761
Russia,-0.89,29,5.7,0.286529150198481,5.68054956
Tajikistan,-1.33,21,8.27,0.114481153995331,5.005413693
Turkmenistan,-1.48,19,,0.199176772183914,
Ukraine,-0.78,30,6.45,0.39720308204589,5.966212888
Uzbekistan,-1.16,22,5.99,0.309564717118142,
