sex,age,country,image,estimated_bmi
M,53.0,Armenia,45bbf60d9a78c802.jpg,32.2112912159941
M,42.0,Armenia,7cd0c6d7bb93035.jpg,35.0592979394382
M,48.0,Armenia,ac879073ab927981.jpg,36.9776831473194
M,44.0,Armenia,a2ba3f513063c0b.jpg,31.0830772787818
M,45.0,Armenia,8676f84b0cbeec53.jpg,30.6645149409841
M,50.0,Armenia,a272ff70d9a994d7.jpg,32.2409755660615
F,63.0,Armenia,699011161c052b6e.jpg,27.3637569425085
M,45.0,Armenia,a2e37ab61c1f5391.jpg,36.20247689789
M,64.0,Armenia,5b1e3b78d32c5a44.jpg,31.3248658379435
M,31.0,Armenia,99ce8cee8d547f5d.jpg,29.4738792651634
M,38.0,Armenia,46fe82485346ee7c.jpg,24.7725664460793
M,61.0,Armenia,146465fb51eb8b5f.jpg,35.2275839852729
M,58.0,Armenia,e9bcd22a744a9e9a.jpg,33.3811254853743
M,54.0,Armenia,32782e91c007af0b.jpg,37.3421707346313
M,45.0,Armenia,5f40265eef478ca2.jpg,32.6751674345674
M,59.0,Armenia,b036a17e6b804bc9.jpg,31.0527053120933
M,49.0,Armenia,af1f044aade7217.jpg,24.6785080926108
M,54.0,Armenia,48eeb97e123289f3.jpg,33.2621915824113
M,36.0,Armenia,8f311e2020ce1049.jpg,27.1696327890487
M,82.0,Azerbaijan,93917455cccc6774.jpg,31.7078717940845
M,71.0,Azerbaijan,4d6a145f6a03327b.jpg,27.3008063789054
M,77.0,Azerbaijan,b4e18abdceeb3451.jpg,36.2540574958029
M,74.0,Azerbaijan,af1710a9b38f13db.jpg,34.3124009795904
M,64.0,Azerbaijan,bfb268f40c789ac9.jpg,36.0187760444371
M,69.0,Azerbaijan,2492be2765dcb005.png,31.5548131992099
M,,Azerbaijan,61a1a26b39c6e4ec.jpg,36.2388659601182
M,58.0,Azerbaijan,c03196d0b1e40f5.jpg,36.1664875833736
M,60.0,Azerbaijan,ee60ea94dc2ad5df.jpg,28.851350268144
M,58.0,Azerbaijan,26e89d9b6c907643.jpg,30.595379965247
M,61.0,Azerbaijan,a1cbe4f29982dbc5.jpg,33.5183687748131
M,54.0,Azerbaijan,cf27e4ffbe2f20f6.jpg,33.3887216457881
M,41.0,Azerbaijan,db2290bd145618a6.jpg,24.8601497848502
M,56.0,Azerbaijan,da2b90ce5ab58a14.jpg,33.5528806149094
